Dataset                                                              | Brainome Modelsize             | Compile Time                           | Accuracy                     | State of the Art                  
profb                                                                | # Parameters: 324              | Build time: 16.54 seconds              | Our model: 99.55%            | State of the Art: 76.34%          
rabe-131                                                             | # Parameters: 19               | Build time: 11.17 seconds              | Our model: 100.00%           | State of the Art: 100%            
robot-failures-lp1                                                   | # Parameters: 35               | Build time: 11.0 seconds               | Our model: 100.00%           | State of the Art: 96.59%          
robot-failures-lp5                                                   | # Parameters: 78               | Build time: 16.31 seconds              | Our model: 96.95%            | State of the Art: 70.73%          
rsctc2010-2                                                          | # Parameters: 29               | Build time: 699.63 seconds             | Our model: 76.19%            | State of the Art: 58.1%           
rsctc2010-6                                                          | # Parameters: 50               | Build time: 53.48 seconds              | Our model: 100.00%           | State of the Art: 75%             
seeds                                                                | # Parameters: 62               | Build time: 16.37 seconds              | Our model: 99.52%            | State of the Art: 93.81%          
shuttle-landing-control                                              | # Parameters: 6                | Build time: 15.16 seconds              | Our model: 93.33%            | State of the Art: 80%             
sick                                                                 | # Parameters: 252              | Build time: 93.56 seconds              | Our model: 97.08%            | State of the Art: 98.75%          
sleep                                                                | # Parameters: 23               | Build time: 11.48 seconds              | Our model: 100.00%           | State of the Art: 77.42%          
sleuth-ex2016                                                        | # Parameters: 37               | Build time: 11.67 seconds              | Our model: 100.00%           | State of the Art: 77.01%          
spectrometer (binary)                                                | # Parameters: 99               | Build time: 11.48 seconds              | Our model: 100.00%           | State of the Art: 71%             
spectrometer (multi)                                                 | # Parameters: 99               | Build time: 11.75 seconds              | Our model: 100.00%           | State of the Art: 71%             
splice                                                               | # Parameters: 198              | Build time: 1671.48 seconds            | Our model: 88.11%            | State of the Art: 96.18%          
sponge                                                               | # Parameters: 10               | Build time: 11.04 seconds              | Our model: 100.00%           | State of the Art: 96.05%          
squash-unstored                                                      | # Parameters: 31               | Build time: 11.13 seconds              | Our model: 100.00%           | State of the Art: 86.54%          
synthetic-control                                                    | # Parameters: 346              | Build time: 807.14 seconds             | Our model: 100.00%           | State of the Art: 99.17%          
tae                                                                  | # Parameters: 33               | Build time: 10.94 seconds              | Our model: 65.56%            | State of the Art: 70.86%          
thyroid-allhypo                                                      | # Parameters: 1522             | Build time: 46.56 seconds              | Our model: 97.89%            | State of the Art: 71.18%          
vertebra-column                                                      | # Parameters: 113              | Build time: 11.05 seconds              | Our model: 100.00%           | State of the Art: 86.45%          
veteran                                                              | # Parameters: 14               | Build time: 11.19 seconds              | Our model: 81.75%            | State of the Art: 77.37%          
volcanoes-a2                                                         | # Parameters: 281              | Build time: 11.27 seconds              | Our model: 100.00%           | State of the Art: 91.19%          
volcanoes-b5                                                         | # Parameters: 729              | Build time: 12.87 seconds              | Our model: 100.00%           | State of the Art: 96.51%          
volcanoes-b6                                                         | # Parameters: 719              | Build time: 12.61 seconds              | Our model: 100.00%           | State of the Art: 96.62%          
volcanoes-d2                                                         | # Parameters: 948              | Build time: 12.42 seconds              | Our model: 100.00%           | State of the Art: 94.54%          
volcanoes-d4                                                         | # Parameters: 920              | Build time: 12.26 seconds              | Our model: 100.00%           | State of the Art: 94.34%          
volcanoes-e3                                                         | # Parameters: 195              | Build time: 11.84 seconds              | Our model: 100.00%           | State of the Art: 91.78%          
volkert                                                              | # Parameters: 27148            | Build time: 2842.15 seconds            | Our model: 69.27%            | State of the Art: 71.6%           
vote                                                                 | # Parameters: 37               | Build time: 693.45 seconds             | Our model: 97.24%            | State of the Art: 96.78%          
wine-quality-white                                                   | # Parameters: 2599             | Build time: 11.82 seconds              | Our model: 100.00%           | State of the Art: 87.42%          
witmer-census-1980                                                   | # Parameters: 27               | Build time: 11.1 seconds               | Our model: 100.00%           | State of the Art: 78%             
yeast                                                                | # Parameters: 180              | Build time: 2927.34 seconds            | Our model: 62.19%            | State of the Art: 61.55%          
